iter	Passed	Remaining
834	3508	693
835	3512	689
836	3516	684
837	3519	680
838	3523	676
839	3527	671
840	3531	667
841	3534	663
842	3537	658
843	3541	654
844	3545	650
845	3549	646
846	3552	641
847	3556	637
848	3560	633
849	3563	628
850	3566	624
851	3569	620
852	3573	615
853	3577	611
854	3582	607
855	3585	603
856	3596	600
857	3600	595
858	3606	591
859	3620	589
860	3625	585
861	3632	581
862	3636	577
863	3640	573
864	3643	568
865	3647	564
866	3650	560
867	3655	555
868	3658	551
869	3661	547
870	3664	542
871	3667	538
872	3671	534
873	3674	529
874	3677	525
875	3680	520
876	3683	516
877	3686	512
878	3689	507
879	3692	503
880	3695	499
881	3698	494
882	3701	490
883	3704	486
884	3706	481
885	3709	477
886	3712	472
887	3715	468
888	3718	464
889	3720	459
890	3723	455
891	3726	451
892	3729	446
893	3732	442
894	3735	438
895	3738	433
896	3740	429
897	3743	425
898	3746	420
899	3749	416
900	3752	412
901	3754	407
902	3757	403
903	3760	399
904	3762	394
905	3765	390
906	3769	386
907	3771	382
908	3774	377
909	3777	373
910	3780	369
911	3783	365
912	3786	360
913	3788	356
914	3793	352
915	3796	348
916	3799	343
917	3801	339
918	3804	335
919	3808	331
920	3811	326
921	3814	322
922	3817	318
923	3819	314
924	3823	310
925	3827	305
926	3829	301
927	3832	297
928	3835	293
929	3838	288
930	3842	284
931	3845	280
932	3848	276
933	3851	272
934	3855	268
935	3859	263
936	3863	259
937	3866	255
938	3870	251
939	3873	247
940	3876	243
941	3879	238
942	3881	234
943	3886	230
944	3889	226
945	3892	222
946	3894	217
947	3897	213
948	3899	209
949	3904	205
950	3907	201
951	3909	197
952	3912	192
953	3916	188
954	3920	184
955	3922	180
956	3925	176
957	3928	172
958	3931	168
959	3935	163
960	3938	159
961	3941	155
962	3944	151
963	3948	147
964	3952	143
965	3954	139
966	3957	135
967	3960	130
968	3964	126
969	3968	122
970	3973	118
971	3975	114
972	3980	110
973	3983	106
974	3986	102
975	3989	98
976	3991	93
977	3996	89
978	3999	85
979	4002	81
980	4005	77
981	4008	73
982	4012	69
983	4015	65
984	4018	61
985	4021	57
986	4025	53
987	4029	48
988	4032	44
